,Location,Area,Bed,Bath,Price
1020,"Mirpur, Dhaka",950 sqft,2,2,12 Thousand
1021,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka","2,200 sqft",4,4,45 Thousand
1022,"Mohammadia Housing Society, Mohammadpur, Dhaka",750 sqft,2,2,14 Thousand
1023,"Block G, South Banasree Project, Banasree, Dhaka","1,150 sqft",3,3,15 Thousand
1024,"PC Culture Housing, Mohammadpur, Dhaka",720 sqft,2,2,14 Thousand
1025,"Baridhara, Dhaka","3,300 sqft",4,4,1 Lakh
1026,"Block D, Bashundhara R-A, Dhaka","2,200 sqft",4,4,67.5 Thousand
1027,"Shantibag, Malibagh, Dhaka","1,185 sqft",3,3,26.5 Thousand
1028,"Block F, Bashundhara R-A, Dhaka","1,900 sqft",4,4,45 Thousand
1029,"PC Culture Housing, Mohammadpur, Dhaka",920 sqft,2,2,16.5 Thousand
1030,"Sector 10, Uttara, Dhaka","1,480 sqft",3,4,17 Thousand
1031,"Mohakhali, Dhaka",950 sqft,2,2,19 Thousand
1032,"Block A, Bashundhara R-A, Dhaka","1,700 sqft",4,5,32 Thousand
1033,"Block C, Aftab Nagar, Dhaka","1,750 sqft",3,3,30 Thousand
1034,"Block G, Bashundhara R-A, Dhaka","1,800 sqft",3,4,25 Thousand
1035,"Sector 4, Uttara, Dhaka","1,600 sqft",3,4,80 Thousand
1036,"Block A, Bashundhara R-A, Dhaka","1,888 sqft",3,4,50 Thousand
1037,"Section 7, Mirpur, Dhaka","1,700 sqft",3,3,20 Thousand
1038,"Block A, Bashundhara R-A, Dhaka","2,008 sqft",4,3,44 Thousand
1039,"Block G, Bashundhara R-A, Dhaka","1,850 sqft",3,4,26 Thousand
1040,"Sector 12, Uttara, Dhaka",900 sqft,2,2,18 Thousand
1041,"Sector 3, Uttara, Dhaka","1,850 sqft",3,4,65 Thousand
1042,"Block A, Bashundhara R-A, Dhaka","2,200 sqft",3,3,50 Thousand
1043,"South Monipur, Mirpur, Dhaka",965 sqft,2,2,11 Thousand
1044,"Sector 12, Uttara, Dhaka","1,550 sqft",3,4,59 Thousand
1045,"East Maniknagar, Maniknagar, Dhaka",700 sqft,3,2,12 Thousand
1046,"Sector 6, Uttara, Dhaka","1,600 sqft",3,3,25 Thousand
1047,"Block D, Bashundhara R-A, Dhaka","2,000 sqft",3,4,45 Thousand
1048,"Section 1, Mirpur, Dhaka","1,400 sqft",3,3,20 Thousand
1049,"Sector 6, Uttara, Dhaka","1,300 sqft",2,2,30 Thousand
1050,"Sector 6, Uttara, Dhaka","1,300 sqft",2,2,30 Thousand
1051,"Mohakhali, Dhaka","1,100 sqft",3,2,30 Thousand
1052,"Sector 7, Uttara, Dhaka","2,350 sqft",3,3,60 Thousand
1053,"Dhanmondi, Dhaka","1,800 sqft",3,4,1.2 Lakh
1054,"Block C, Bashundhara R-A, Dhaka","1,553 sqft",3,3,26 Thousand
1055,"Block G, Section 1, Mirpur, Dhaka","1,350 sqft",3,3,60 Thousand
1056,"Block I, Bashundhara R-A, Dhaka","2,200 sqft",3,5,30 Thousand
1057,"Block A, Lalmatia, Dhaka","1,704 sqft",3,3,50 Thousand
1058,"Block F, Bashundhara R-A, Dhaka","1,580 sqft",3,4,25 Thousand
1059,"West Rampura, Rampura, Dhaka",950 sqft,2,2,16 Thousand
1060,"Sector 14, Uttara, Dhaka",900 sqft,2,2,18 Thousand
1061,"Shantibag, Malibagh, Dhaka","1,050 sqft",3,3,20 Thousand
1062,"Block G, Bashundhara R-A, Dhaka","1,480 sqft",3,3,23 Thousand
1063,"Dhanmondi, Dhaka","2,700 sqft",4,3,75 Thousand
1064,"Block F, Bashundhara R-A, Dhaka","1,800 sqft",3,4,25 Thousand
1065,"Block A, Bashundhara R-A, Dhaka","2,250 sqft",3,4,50 Thousand
1066,"Mugdapara, Dhaka","1,366 sqft",3,3,22 Thousand
1067,"Banani, Dhaka","1,375 sqft",3,3,60 Thousand
1068,"Block F, Bashundhara R-A, Dhaka","1,300 sqft",2,2,25 Thousand
1069,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka","1,200 sqft",3,3,27 Thousand
1070,"Block I, Bashundhara R-A, Dhaka","1,500 sqft",3,3,22 Thousand
1071,"East Shewrapara, Mirpur, Dhaka",900 sqft,2,2,15 Thousand
1072,"Block I, Bashundhara R-A, Dhaka","1,500 sqft",3,4,22 Thousand
1073,"Mirpur, Dhaka",950 sqft,3,2,11 Thousand
1074,"Gulshan 2, Gulshan, Dhaka","2,950 sqft",4,4,1.2 Lakh
1075,"Banani, Dhaka","2,400 sqft",4,4,55 Thousand
1076,"Sector 14, Uttara, Dhaka",900 sqft,2,2,15 Thousand
1077,"Block C, Bashundhara R-A, Dhaka","2,150 sqft",3,3,32 Thousand
1078,"Block A, Bashundhara R-A, Dhaka","1,888 sqft",3,4,50 Thousand
1079,"East Azampur, Dakshin Khan, Dhaka",700 sqft,2,2,10.5 Thousand
1080,"Middle Monipur, Mirpur, Dhaka","1,300 sqft",3,2,18 Thousand
1081,"Shantibag, Malibagh, Dhaka","1,052 sqft",3,3,22.5 Thousand
1082,"Mohammadi Housing LTD., Mohammadpur, Dhaka",500 sqft,1,1,9 Thousand
1083,"Sector 1, Uttara, Dhaka","3,000 sqft",4,4,1.3 Lakh
1084,"Tejturi Bazar, Tejgaon, Dhaka","1,000 sqft",3,2,25 Thousand
1085,"Road No 10, Block C, Section 11, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
1086,"Block D, Bashundhara R-A, Dhaka","1,950 sqft",3,4,37 Thousand
1087,"Sector 7, Uttara, Dhaka","2,300 sqft",4,4,50 Thousand
1088,"Block D, Section 12, Mirpur, Dhaka",650 sqft,2,2,13 Thousand
1089,"Khilkhet, Dhaka",500 sqft,1,1,9.5 Thousand
1090,"Block C, Aftab Nagar, Dhaka","1,050 sqft",3,2,15 Thousand
1091,"Banani, Dhaka","2,600 sqft",4,4,80 Thousand
1092,"Block H, Bashundhara R-A, Dhaka","1,500 sqft",3,3,20 Thousand
1093,"Block J, Bashundhara R-A, Dhaka","1,270 sqft",3,3,30 Thousand
1094,"Sector 7, Uttara, Dhaka","1,750 sqft",3,4,30 Thousand
1095,"Sector 10, Uttara, Dhaka","1,250 sqft",3,3,20 Thousand
1096,"Banani, Dhaka","2,300 sqft",3,4,1.3 Lakh
1097,"Block K, Baridhara, Dhaka","3,000 sqft",4,4,1.5 Lakh
1098,"Mohammadi Housing LTD., Mohammadpur, Dhaka",800 sqft,2,2,13.53 Thousand
1099,"Sector 13, Uttara, Dhaka","1,350 sqft",3,3,25 Thousand
1100,"Block G, Bashundhara R-A, Dhaka","1,550 sqft",3,3,25 Thousand
1101,"Block A, Bashundhara R-A, Dhaka","1,400 sqft",3,3,26 Thousand
1102,"Sector 11, Uttara, Dhaka",900 sqft,2,2,20 Thousand
1103,"Block I, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
1104,"Block K, Baridhara, Dhaka","4,500 sqft",3,4,4.5 Lakh
1105,"Block K, Baridhara, Dhaka","4,500 sqft",3,4,4.5 Lakh
1106,"Block J, Bashundhara R-A, Dhaka","2,400 sqft",4,4,40 Thousand
1107,"Shantibag, Malibagh, Dhaka","1,150 sqft",3,3,25.5 Thousand
1108,"Block D, Bashundhara R-A, Dhaka","1,400 sqft",3,3,37.4 Thousand
1109,"Block C, Bashundhara R-A, Dhaka","1,500 sqft",3,3,26 Thousand
1110,"Pallabi Extension, Pallabi, Mirpur, Dhaka","1,200 sqft",3,2,15 Thousand
1111,"Sector 11, Uttara, Dhaka",900 sqft,3,2,19.5 Thousand
1112,"Gulshan 2, Gulshan, Dhaka","1,808 sqft",3,4,70 Thousand
1113,"Sector 12, Uttara, Dhaka","1,650 sqft",3,3,45 Thousand
1114,"Sector 9, Uttara, Dhaka","1,000 sqft",3,2,20 Thousand
1115,"Block F, Bashundhara R-A, Dhaka","2,000 sqft",4,4,35 Thousand
1116,"Sector 1, Uttara, Dhaka",750 sqft,1,2,17 Thousand
1117,"Banani, Dhaka","1,200 sqft",3,4,40 Thousand
1118,"Sector 7, Uttara, Dhaka","1,530 sqft",3,3,70 Thousand
1119,"Sector 11, Uttara, Dhaka",950 sqft,2,2,18 Thousand
1120,"Block G, Bashundhara R-A, Dhaka",880 sqft,2,2,18 Thousand
1121,"Gulshan 1, Gulshan, Dhaka","1,850 sqft",3,3,50 Thousand
1122,"Block K, Baridhara, Dhaka","4,500 sqft",3,4,4.5 Lakh
1123,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",3,3,90 Thousand
1124,"Block F, Bashundhara R-A, Dhaka","1,880 sqft",3,3,30 Thousand
1125,"Baitul Aman Housing Society, Adabor, Dhaka","1,200 sqft",3,3,14 Thousand
1126,"Middle Monipur, Mirpur, Dhaka",500 sqft,1,1,7.5 Thousand
1127,"Sector 11, Uttara, Dhaka","2,600 sqft",4,4,45 Thousand
1128,"Block C, Bashundhara R-A, Dhaka","1,250 sqft",2,2,19 Thousand
1129,"Baridhara, Dhaka","2,000 sqft",3,3,1.1 Lakh
1130,"Banani, Dhaka","2,450 sqft",3,4,1 Lakh
1131,"Block K, Baridhara, Dhaka","2,650 sqft",3,3,1 Lakh
1132,"Sector 12, Uttara, Dhaka","2,170 sqft",4,4,90 Thousand
1133,"Block C, Bashundhara R-A, Dhaka","1,750 sqft",3,4,30 Thousand
1134,"Block G, Bashundhara R-A, Dhaka","1,600 sqft",3,4,35 Thousand
1135,"Sector 7, Uttara, Dhaka","1,600 sqft",3,3,27 Thousand
1136,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",4,4,50 Thousand
1137,"Sector 13, Uttara, Dhaka","4,350 sqft",5,6,1.1 Lakh
1138,"Sector 9, Uttara, Dhaka",900 sqft,2,2,20 Thousand
1139,"Section 1, Mirpur, Dhaka","1,100 sqft",3,3,15 Thousand
1140,"Gulshan 1, Gulshan, Dhaka","3,500 sqft",4,4,2 Lakh
1141,"Gulshan 1, Gulshan, Dhaka","3,500 sqft",4,4,2 Lakh
1142,"Block A, Bashundhara R-A, Dhaka","2,250 sqft",3,4,45 Thousand
1143,"Nikunja 2, Nikunja, Dhaka","1,600 sqft",3,3,50 Thousand
1144,"Sector 11, Uttara, Dhaka",900 sqft,2,2,17.2 Thousand
1145,"Banani, Dhaka","1,800 sqft",3,4,55 Thousand
1146,"Gulshan 1, Gulshan, Dhaka","2,488 sqft",4,4,85 Thousand
1147,"Block J, Bashundhara R-A, Dhaka","2,400 sqft",4,5,40 Thousand
1148,"Uttar Badda, Badda, Dhaka",750 sqft,2,2,12.5 Thousand
1149,"Dhanmondi, Dhaka","1,350 sqft",3,3,30 Thousand
1150,"West Nakhalpara, Tejgaon, Dhaka",800 sqft,2,2,18 Thousand
1151,"Sector 3, Uttara, Dhaka","1,800 sqft",3,4,70 Thousand
1152,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",3,4,90 Thousand
1153,"Mohakhali DOHS, Dhaka","2,700 sqft",4,4,1 Lakh
1154,"Dhanmondi, Dhaka","1,616 sqft",3,3,45 Thousand
1155,"West Shewrapara, Mirpur, Dhaka",800 sqft,2,2,11 Thousand
1156,"Gandaria, Sutrapur, Dhaka","1,000 sqft",3,2,14 Thousand
1157,"Block I, Bashundhara R-A, Dhaka","1,100 sqft",3,3,20 Thousand
1158,"Block G, Bashundhara R-A, Dhaka","2,650 sqft",4,3,45 Thousand
1159,"Sector 4, Uttara, Dhaka","3,144 sqft",4,5,80 Thousand
1160,"Sector 4, Uttara, Dhaka","3,144 sqft",4,5,80 Thousand
1161,"Block F, Bashundhara R-A, Dhaka","2,000 sqft",3,3,27 Thousand
1162,"Block C, Bashundhara R-A, Dhaka","1,250 sqft",3,3,22 Thousand
1163,"Sector 13, Uttara, Dhaka","1,400 sqft",3,3,35 Thousand
1164,"Gulshan 2, Gulshan, Dhaka","2,400 sqft",3,3,1.25 Lakh
1165,"Banani, Dhaka","2,450 sqft",3,4,1 Lakh
1166,"Gulshan 2, Gulshan, Dhaka","3,000 sqft",3,4,1.5 Lakh
1167,"Block C, Bashundhara R-A, Dhaka","1,750 sqft",3,3,30 Thousand
1168,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka","1,265 sqft",3,3,18 Thousand
1169,"Block E, Section 12, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
1170,"Block G, Bashundhara R-A, Dhaka","1,400 sqft",4,3,30 Thousand
1171,"Shantinagar, Dhaka","1,721 sqft",3,4,40 Thousand
1172,"Sector 11, Uttara, Dhaka","1,750 sqft",3,4,26 Thousand
1173,"Sector 13, Uttara, Dhaka",900 sqft,1,1,12 Thousand
1174,"Taltola, Khilgaon, Dhaka",700 sqft,2,2,18 Thousand
1175,"Ullan, Rampura, Dhaka","1,250 sqft",3,3,21 Thousand
1176,"Block C, Dhaka Uddan, Mohammadpur, Dhaka","1,250 sqft",3,3,18 Thousand
1177,"Maghbazar, Dhaka","1,500 sqft",3,3,30 Thousand
1178,"Block E, Section 12, Mirpur, Dhaka",650 sqft,2,2,13.5 Thousand
1179,"Sector 12, Uttara, Dhaka",900 sqft,2,2,18 Thousand
1180,"Sector 12, Uttara, Dhaka",900 sqft,2,2,15.5 Thousand
1181,"Sector 12, Uttara, Dhaka",800 sqft,2,2,15 Thousand
1182,"Sector 12, Uttara, Dhaka",850 sqft,2,2,16.5 Thousand
1183,"Banani, Dhaka","3,200 sqft",4,5,1 Lakh
1184,"Sector 5, Uttara, Dhaka",900 sqft,2,2,20 Thousand
1185,"Sector 3, Uttara, Dhaka","1,050 sqft",3,3,32 Thousand
1186,"Uttar Badda, Badda, Dhaka","1,170 sqft",3,3,22 Thousand
1187,"Kalabagan, Dhaka","1,250 sqft",3,3,25 Thousand
1188,"Sector 12, Uttara, Dhaka",700 sqft,1,1,12 Thousand
1189,"Sector 13, Uttara, Dhaka",850 sqft,2,2,16.5 Thousand
1190,"Malibagh, Dhaka","1,360 sqft",3,3,23 Thousand
1191,"Sector 12, Uttara, Dhaka",850 sqft,2,2,16.5 Thousand
1192,"Block B, Bashundhara R-A, Dhaka","1,850 sqft",3,3,43.75 Thousand
1193,"Block C, Section 12, Mirpur, Dhaka",670 sqft,2,2,11 Thousand
1194,"Sayem Sobhan Anvir Road, Block C, Bashundhara R-A, Dhaka","4,427 sqft",4,5,1.4 Lakh
1195,"Section 1, Mirpur, Dhaka","1,350 sqft",3,3,18 Thousand
1196,"Section 1, Mirpur, Dhaka","1,350 sqft",3,3,18 Thousand
1197,"Sector 11, Uttara, Dhaka","1,200 sqft",3,2,24 Thousand
1198,"Gandaria, Sutrapur, Dhaka","1,050 sqft",3,2,15 Thousand
1199,"Banani, Dhaka","2,100 sqft",3,4,60 Thousand
1200,"Sector 6, Uttara, Dhaka","1,500 sqft",3,3,30 Thousand
1201,"Block D, Section 12, Mirpur, Dhaka",650 sqft,2,2,13 Thousand
1202,"Dhanmondi, Dhaka","2,700 sqft",3,4,85 Thousand
1203,"Block B, Bashundhara R-A, Dhaka","2,300 sqft",3,3,46 Thousand
1204,"Baigertek, Cantonment, Dhaka","1,000 sqft",3,2,13.5 Thousand
1205,"Block I, Bashundhara R-A, Dhaka",800 sqft,2,2,18 Thousand
1206,"Block A, Bashundhara R-A, Dhaka","2,250 sqft",3,4,35 Thousand
1207,"Taltola, Agargaon, Dhaka","3,000 sqft",4,3,80 Thousand
1208,"Block D, Bashundhara R-A, Dhaka","2,250 sqft",3,4,40 Thousand
1209,"Block F, Bashundhara R-A, Dhaka","1,810 sqft",4,4,30 Thousand
1210,"Sector 5, Uttara, Dhaka","1,700 sqft",3,3,40 Thousand
1211,"Block F, Bashundhara R-A, Dhaka","2,400 sqft",3,4,57 Thousand
1212,"Sector 3, Uttara, Dhaka","1,850 sqft",3,3,45 Thousand
1213,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1214,"Gulshan 1, Gulshan, Dhaka","2,440 sqft",4,4,1.4 Lakh
1215,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",3,4,90 Thousand
1216,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",3,3,90 Thousand
1217,"Banani, Dhaka","2,250 sqft",3,4,80 Thousand
1218,"Banani, Dhaka","2,250 sqft",3,3,80 Thousand
1219,"Gulshan 1, Gulshan, Dhaka","2,475 sqft",3,3,1.2 Lakh
1220,"Dhanmondi, Dhaka","1,616 sqft",3,4,45 Thousand
1221,"Block C, Section 12, Mirpur, Dhaka",800 sqft,2,1,19 Thousand
1222,"Block E, Banasree, Dhaka","1,700 sqft",4,3,35 Thousand
1223,"Gandaria, Sutrapur, Dhaka","1,000 sqft",3,2,15 Thousand
1224,"Uttar Badda, Badda, Dhaka","1,200 sqft",3,3,20 Thousand
1225,"Sector 11, Uttara, Dhaka","1,750 sqft",3,4,28 Thousand
1226,"Sector 13, Uttara, Dhaka","1,300 sqft",3,3,30 Thousand
1227,"Block C, Bashundhara R-A, Dhaka","1,594 sqft",3,4,30.5 Thousand
1228,"Block A, Bashundhara R-A, Dhaka","2,050 sqft",3,4,70 Thousand
1229,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",4,5,34 Thousand
1230,"West Shewrapara, Mirpur, Dhaka",400 sqft,1,1,10 Thousand
1231,"Sector 10, Uttara, Dhaka","2,100 sqft",3,4,35 Thousand
1232,"Block G, Bashundhara R-A, Dhaka","1,250 sqft",3,3,45 Thousand
1233,"Block F, Bashundhara R-A, Dhaka","1,400 sqft",3,3,26 Thousand
1234,"Block C, Bashundhara R-A, Dhaka","2,270 sqft",4,4,50 Thousand
1235,"Block A, Bashundhara R-A, Dhaka","1,850 sqft",3,3,38 Thousand
1236,"Block G, Bashundhara R-A, Dhaka","1,250 sqft",3,2,16 Thousand
1237,"Cantonment, Dhaka","1,200 sqft",3,3,25 Thousand
1238,"Block J, South Banasree Project, Banasree, Dhaka","1,250 sqft",3,2,16 Thousand
1239,"Block D, Bashundhara R-A, Dhaka","1,200 sqft",3,3,21 Thousand
1240,"Block C, Bashundhara R-A, Dhaka","1,975 sqft",3,4,40 Thousand
1241,"Sector 13, Uttara, Dhaka","1,750 sqft",3,3,29 Thousand
1242,"Block I, Bashundhara R-A, Dhaka","1,650 sqft",3,4,32 Thousand
1243,"PC Culture Housing, Mohammadpur, Dhaka",830 sqft,2,2,15 Thousand
1244,"Block G, Banasree, Dhaka","1,200 sqft",3,2,22 Thousand
1245,"Block I, Bashundhara R-A, Dhaka","1,400 sqft",3,3,20 Thousand
1246,"Block D, Bashundhara R-A, Dhaka","2,400 sqft",3,3,55 Thousand
1247,"Block B, Bashundhara R-A, Dhaka","1,230 sqft",3,2,25 Thousand
1248,"Block I, Bashundhara R-A, Dhaka","2,250 sqft",4,4,35 Thousand
1249,"Sector 10, Uttara, Dhaka","1,500 sqft",3,4,22 Thousand
1250,"Block G, Bashundhara R-A, Dhaka","2,363 sqft",4,4,50 Thousand
1251,"Block J, Bashundhara R-A, Dhaka","2,000 sqft",3,4,32 Thousand
1252,"Block G, Bashundhara R-A, Dhaka","1,800 sqft",3,4,30 Thousand
1253,"Block F, Bashundhara R-A, Dhaka","2,400 sqft",4,5,70 Thousand
1254,"Block E, Bashundhara R-A, Dhaka","1,500 sqft",3,4,25 Thousand
1255,"Block C, Bashundhara R-A, Dhaka","2,350 sqft",4,5,43 Thousand
1256,"Sector 14, Uttara, Dhaka","1,650 sqft",3,3,48 Thousand
1257,"Old Eskaton, Eskaton, Dhaka","2,250 sqft",3,4,50 Thousand
1258,"Gulshan 2, Gulshan, Dhaka","1,600 sqft",3,3,45 Thousand
1259,"Nikunja 1, Nikunja, Dhaka","1,800 sqft",3,4,50 Thousand
1260,"Banani, Dhaka","2,500 sqft",4,4,90 Thousand
1261,"Sector 3, Uttara, Dhaka","1,500 sqft",3,3,35 Thousand
1262,"Gandaria, Sutrapur, Dhaka","1,050 sqft",3,2,15 Thousand
1263,"Gandaria, Sutrapur, Dhaka","1,000 sqft",3,2,15 Thousand
1264,"Block I, Bashundhara R-A, Dhaka","1,250 sqft",3,3,25 Thousand
1265,"Block D, Bashundhara R-A, Dhaka","2,100 sqft",3,4,40 Thousand
1266,"Gandaria, Sutrapur, Dhaka","1,050 sqft",3,2,14 Thousand
1267,"Sector 11, Uttara, Dhaka","1,000 sqft",2,2,22 Thousand
1268,"Block H, Bashundhara R-A, Dhaka","1,550 sqft",3,3,25 Thousand
1269,"Baridhara DOHS, Dhaka","1,400 sqft",3,4,35 Thousand
1270,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1271,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1272,"Block D, Bashundhara R-A, Dhaka","2,500 sqft",4,4,50 Thousand
1273,"Gulshan 2, Gulshan, Dhaka","3,500 sqft",4,4,3.5 Lakh
1274,"Gulshan 2, Gulshan, Dhaka","3,500 sqft",4,4,3.5 Lakh
1275,"Block D, Bashundhara R-A, Dhaka","2,000 sqft",3,3,38 Thousand
1276,"Block I, Bashundhara R-A, Dhaka","1,250 sqft",3,3,25 Thousand
1277,"Baigertek, Cantonment, Dhaka","1,000 sqft",3,2,13.5 Thousand
1278,"Block F, Bashundhara R-A, Dhaka","2,800 sqft",4,5,70 Thousand
1279,"Baitul Aman Housing Society, Adabor, Dhaka","1,050 sqft",3,3,20 Thousand
1280,"Sector 3, Uttara, Dhaka","1,850 sqft",3,3,45 Thousand
1281,"Section 1, Mirpur, Dhaka","1,300 sqft",3,3,20 Thousand
1282,"Gulshan 2, Gulshan, Dhaka","2,550 sqft",3,3,1.4 Lakh
1283,"Shantibag, Malibagh, Dhaka","1,052 sqft",3,3,22.5 Thousand
1284,"Mohakhali, Dhaka",800 sqft,3,2,23 Thousand
1285,"Sector 14, Uttara, Dhaka","1,650 sqft",3,3,48 Thousand
1286,"Sector 12, Uttara, Dhaka",850 sqft,2,3,15 Thousand
1287,"Sector 13, Uttara, Dhaka","1,300 sqft",3,3,22 Thousand
1288,"Shantibag, Malibagh, Dhaka","1,150 sqft",3,3,25.5 Thousand
1289,"Block I, Bashundhara R-A, Dhaka","1,880 sqft",3,3,35 Thousand
1290,"Sector 3, Uttara, Dhaka","1,850 sqft",3,3,45 Thousand
1291,"Sector 4, Uttara, Dhaka","1,800 sqft",3,4,30 Thousand
1292,"Mirpur, Dhaka",850 sqft,2,2,10 Thousand
1293,"Gandaria, Sutrapur, Dhaka",600 sqft,2,2,16 Thousand
1294,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
1295,"Shantibag, Malibagh, Dhaka","1,080 sqft",3,3,24.5 Thousand
1296,"Section 2, Mirpur, Dhaka","1,180 sqft",3,3,20 Thousand
1297,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,20 Thousand
1298,"Block K, Baridhara, Dhaka","2,250 sqft",3,3,1.5 Lakh
1299,"Sector 6, Uttara, Dhaka","1,450 sqft",3,3,28 Thousand
1300,"Sector 6, Uttara, Dhaka","1,400 sqft",3,3,25 Thousand
1301,"Sector 10, Uttara, Dhaka","1,900 sqft",4,4,28 Thousand
1302,"Ullan, Rampura, Dhaka","1,265 sqft",3,3,18 Thousand
1303,"Sector 12, Uttara, Dhaka","1,650 sqft",3,5,29 Thousand
1304,"Gulshan 2, Gulshan, Dhaka","2,200 sqft",3,3,65 Thousand
1305,"Gulshan 2, Gulshan, Dhaka","3,400 sqft",2,3,2.5 Lakh
1306,"Sector 13, Uttara, Dhaka","1,500 sqft",3,3,30 Thousand
1307,"Sector 13, Uttara, Dhaka","1,500 sqft",3,3,30 Thousand
1308,"Sector 12, Uttara, Dhaka","1,550 sqft",3,4,52 Thousand
1309,"Gulshan 2, Gulshan, Dhaka","5,400 sqft",4,5,4.5 Lakh
1310,"Banani, Dhaka","1,760 sqft",3,3,40 Thousand
1311,"Sector 3, Uttara, Dhaka","1,800 sqft",3,3,55 Thousand
1312,"Sector 13, Uttara, Dhaka","1,550 sqft",3,3,70 Thousand
1313,"Sector 10, Uttara, Dhaka","1,500 sqft",3,4,25 Thousand
1314,"Gulshan 1, Gulshan, Dhaka","2,200 sqft",3,3,55 Thousand
1315,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1316,"Sector 10, Uttara, Dhaka","1,600 sqft",3,3,24 Thousand
1317,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,18 Thousand
1318,"Tikatuli, Sutrapur, Dhaka","1,415 sqft",3,3,28 Thousand
1319,"Block C, Bashundhara R-A, Dhaka","2,200 sqft",4,5,38 Thousand
1320,"Sector 13, Uttara, Dhaka","1,650 sqft",3,3,27 Thousand
1321,"Sector 10, Uttara, Dhaka","1,500 sqft",3,3,30 Thousand
1322,"Mirpur, Dhaka",800 sqft,2,2,9.5 Thousand
1323,"Dhanmondi, Dhaka","3,000 sqft",3,4,1.15 Lakh
1324,"Dhanmondi, Dhaka","3,500 sqft",3,4,1.15 Lakh
1325,"Merul Badda, Badda, Dhaka","1,400 sqft",3,3,20 Thousand
1326,"Merul Badda, Badda, Dhaka","1,600 sqft",3,3,20 Thousand
1327,"Hatirpool, Dhaka","1,650 sqft",3,4,33 Thousand
1328,"Sector 13, Uttara, Dhaka","1,600 sqft",3,4,30 Thousand
1329,"Sector 11, Uttara, Dhaka","2,100 sqft",4,3,45 Thousand
1330,"Monipuripara, Tejgaon, Dhaka","1,250 sqft",3,3,24 Thousand
1331,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",550 sqft,1,1,11 Thousand
1332,"Mohammadpur, Dhaka",720 sqft,2,2,15 Thousand
1333,"Avenue 6, Mirpur DOHS, Mirpur, Dhaka","2,300 sqft",4,4,35 Thousand
1334,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",4,5,50 Thousand
1335,"Pirerbag, Mirpur, Dhaka",900 sqft,3,2,14 Thousand
1336,"Sector 12, Uttara, Dhaka","1,800 sqft",3,3,38 Thousand
1337,"Jigatola, Hazaribag, Dhaka","1,250 sqft",3,3,28 Thousand
1338,"Dhanmondi, Dhaka","1,200 sqft",3,3,28 Thousand
1339,"Block E, Bashundhara R-A, Dhaka","2,500 sqft",4,5,42 Thousand
1340,"Block F, Bashundhara R-A, Dhaka","1,650 sqft",3,4,30 Thousand
1341,"Shantibag, Malibagh, Dhaka","1,080 sqft",3,3,24.5 Thousand
1342,"Baridhara DOHS, Dhaka","1,100 sqft",3,2,30 Thousand
1343,"Eskaton, Dhaka","2,600 sqft",3,4,50 Thousand
1344,"Monipuripara, Tejgaon, Dhaka","2,000 sqft",4,4,45 Thousand
1345,"PC Culture Housing, Mohammadpur, Dhaka","1,200 sqft",3,3,25 Thousand
1346,"Block F, Banasree, Dhaka","1,000 sqft",2,1,11 Thousand
1347,"Sector 13, Uttara, Dhaka",800 sqft,2,3,16 Thousand
1348,"Block E, Section 12, Mirpur, Dhaka",500 sqft,2,1,8 Thousand
1349,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",720 sqft,2,2,16 Thousand
1350,"Malibagh, Dhaka","1,072 sqft",3,2,20 Thousand
1351,"Mohammadpur, Dhaka",820 sqft,2,1,15 Thousand
1352,"Sector 10, Uttara, Dhaka","1,500 sqft",3,3,25 Thousand
1353,"Block A, Bashundhara R-A, Dhaka","2,200 sqft",4,5,50 Thousand
1354,"Block I, Bashundhara R-A, Dhaka","1,450 sqft",3,3,27 Thousand
1355,"Block C, Section 12, Mirpur, Dhaka","1,250 sqft",3,3,20 Thousand
1356,"Block C, Section 12, Mirpur, Dhaka","1,250 sqft",3,3,20 Thousand
1357,"Block D, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
1358,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
