,Location,Area,Bed,Bath,Price
761,"Block F, Bashundhara R-A, Dhaka","1,900 sqft",4,4,48 Thousand
762,"Block A, Bashundhara R-A, Dhaka","2,200 sqft",4,4,50 Thousand
763,"Block H, Bashundhara R-A, Dhaka","1,450 sqft",3,3,25 Thousand
764,"Sector 6, Uttara, Dhaka","2,450 sqft",3,3,60 Thousand
765,"Block F, Bashundhara R-A, Dhaka","2,150 sqft",3,4,40 Thousand
766,"Tikatuli, Sutrapur, Dhaka",700 sqft,2,2,15 Thousand
767,"Sector 9, Uttara, Dhaka","1,300 sqft",3,3,30 Thousand
768,"Sector 7, Uttara, Dhaka","1,840 sqft",4,4,55 Thousand
769,"Sector 4, Uttara, Dhaka","3,144 sqft",4,5,80 Thousand
770,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
771,"Block F, Bashundhara R-A, Dhaka","1,650 sqft",3,3,30 Thousand
772,"Sector 10, Uttara, Dhaka","1,750 sqft",3,3,25 Thousand
773,"Nikunja 2, Nikunja, Dhaka","1,600 sqft",3,5,45 Thousand
774,"Block A, Bashundhara R-A, Dhaka","2,200 sqft",4,4,50 Thousand
775,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
776,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
777,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
778,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
779,"West Rampura, Rampura, Dhaka","1,100 sqft",3,3,20 Thousand
780,"Shiddheswari, Dhaka","1,300 sqft",3,3,28 Thousand
781,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
782,"Block A, Bashundhara R-A, Dhaka","2,225 sqft",3,3,40 Thousand
783,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
784,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",500 sqft,2,2,15 Thousand
785,"Goran, Khilgaon, Dhaka",650 sqft,2,2,13 Thousand
786,"Sector 4, Uttara, Dhaka",500 sqft,1,1,22 Thousand
787,"Janata Housing, Shah Ali Bag, Section 1, Mirpur, Dhaka",800 sqft,2,2,12 Thousand
788,"Sector 5, Uttara, Dhaka","1,150 sqft",3,2,23 Thousand
789,"Sector 11, Uttara, Dhaka","1,660 sqft",3,3,45 Thousand
790,"East Rampura, Rampura, Dhaka","1,336 sqft",3,3,22 Thousand
791,"Mirpur DOHS, Mirpur, Dhaka","2,250 sqft",3,3,30 Thousand
792,"Mirpur DOHS, Mirpur, Dhaka","2,250 sqft",3,3,30 Thousand
793,"Mirpur DOHS, Mirpur, Dhaka","2,250 sqft",3,3,30 Thousand
794,"Block C, Bashundhara R-A, Dhaka","1,250 sqft",3,3,25.96 Thousand
795,"Shantinagar, Dhaka","1,350 sqft",3,3,32 Thousand
796,"Sector 7, Uttara, Dhaka","3,000 sqft",4,4,40 Thousand
797,"Avenue 9, Mirpur DOHS, Mirpur, Dhaka","1,050 sqft",2,1,22 Thousand
798,"New Market, Dhaka","1,270 sqft",3,3,25 Thousand
799,"Block D, Section 12, Mirpur, Dhaka",760 sqft,2,2,12 Thousand
800,"Block B, Aftab Nagar, Dhaka","1,400 sqft",3,4,25 Thousand
801,"Block I, Bashundhara R-A, Dhaka",800 sqft,2,2,20 Thousand
802,"Block I, Bashundhara R-A, Dhaka","1,550 sqft",3,3,20 Thousand
803,"Block D, South Banasree Project, Banasree, Dhaka",600 sqft,2,2,10 Thousand
804,"Mirpur DOHS, Mirpur, Dhaka","2,150 sqft",3,3,48 Thousand
805,"Sector 9, Uttara, Dhaka","1,500 sqft",3,3,25 Thousand
806,"Sector 7, Uttara, Dhaka","2,300 sqft",4,4,75 Thousand
807,"Nadda, Dhaka",850 sqft,2,2,15 Thousand
808,"Block D, Bashundhara R-A, Dhaka","1,635 sqft",3,4,24 Thousand
809,"Gulshan 1, Gulshan, Dhaka","2,650 sqft",3,3,1 Lakh
810,"South Doniya, Doniya, Shyampur, Dhaka",900 sqft,3,2,12 Thousand
811,"Block G, Bashundhara R-A, Dhaka","1,530 sqft",3,3,25 Thousand
812,"Block I, Bashundhara R-A, Dhaka","1,600 sqft",3,3,20 Thousand
813,"Block B, Bashundhara R-A, Dhaka","3,000 sqft",4,4,45 Thousand
814,"Gulshan 2, Gulshan, Dhaka","2,500 sqft",4,4,65 Thousand
815,"Sector 11, Uttara, Dhaka",900 sqft,2,2,16 Thousand
816,"Sector 12, Uttara, Dhaka",850 sqft,2,2,16 Thousand
817,"Block E, Bashundhara R-A, Dhaka","2,000 sqft",4,4,32 Thousand
818,"Mohammadpur, Dhaka",750 sqft,2,2,15 Thousand
819,"Sector 11, Uttara, Dhaka",900 sqft,2,2,17 Thousand
820,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
821,"Sector 11, Uttara, Dhaka",900 sqft,2,2,16 Thousand
822,"Sector 4, Uttara, Dhaka","1,100 sqft",2,2,20 Thousand
823,"Block I, Bashundhara R-A, Dhaka",950 sqft,2,2,23 Thousand
824,"Avenue 4, Mirpur DOHS, Mirpur, Dhaka","2,350 sqft",4,4,31 Thousand
825,"Block D, Bashundhara R-A, Dhaka","1,850 sqft",4,4,35 Thousand
826,"Block B, Bashundhara R-A, Dhaka","2,250 sqft",4,4,40 Thousand
827,"Sector 11, Uttara, Dhaka",900 sqft,2,2,17 Thousand
828,"Block A, Bashundhara R-A, Dhaka","2,200 sqft",3,3,35 Thousand
829,"Block J, Bashundhara R-A, Dhaka","1,750 sqft",3,4,25 Thousand
830,"Block D, Bashundhara R-A, Dhaka","1,450 sqft",3,3,25 Thousand
831,"Sector 10, Uttara, Dhaka","1,350 sqft",3,3,20 Thousand
832,"Block C, Bashundhara R-A, Dhaka","2,150 sqft",3,4,35 Thousand
833,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,20 Thousand
